min_dist,identityy
0.52,Nomura
0.52,Nomura
0.45,Nomura
0.47,Nomura
0.46,Nomura
0.51,Nomura
0.43,Nomura
0.46,Nomura
0.54,Nomura
0.51,Nomura
0.45,Nomura
0.45,Karen
0.5,Nomura
0.42,Nomura
0.57,Nomura
0.55,Nomura
0.53,Nomura
0.5,Nomura
0.47,Nomura
0.47,Nomura
0.5,Nomura
0.58,diego
0.57,Nomura
0.48,Nomura
0.49,Nomura
0.5,Nomura
0.54,Nomura
0.54,Nomura
0.5,Nomura
0.5,Nomura
0.51,Nomura
0.44,Nomura
0.41,Nomura
0.48,Nomura
0.4,Nomura
0.5,Nomura
0.35,Nomura
0.39,Nomura
0.41,Nomura
0.47,Nomura
0.54,Nomura
0.46,Nomura
0.55,Nomura
0.53,Nomura
0.54,Nomura
0.53,Nomura
0.55,Nomura
0.6,Nomura
0.47,Nomura
0.42,Nomura
0.43,Nomura
0.49,Nomura
0.51,Nomura
0.4,Nomura
0.48,Nomura
0.55,Hibiki
0.46,Nomura
0.54,Nomura
0.46,Nomura
0.42,Nomura
0.47,Nomura
0.46,Nomura
0.52,Nomura
0.52,Nomura
0.57,diego
0.49,diego
0.54,diego
0.6,diego
0.41,diego
0.43,diego
0.47,diego
0.43,diego
0.46,diego
0.48,diego
0.52,diego
0.52,diego
0.53,diego
0.53,diego
0.78,diego
0.55,Monieer
0.56,Monieer
0.57,Monieer
0.59,Monieer
0.57,Monieer
0.58,Monieer
0.58,Monieer
0.61,Karen
0.6,Monieer
0.58,Monieer
0.56,Monieer
0.57,Monieer
0.56,Monieer
0.56,Monieer
0.61,Karen
0.6,Karen
0.63,Karen
0.63,Nomura
0.64,Nomura
0.6,Nomura
0.66,diego
0.57,Nomura
0.6,Karen
0.6,Nomura
0.54,Nomura
0.57,diego
0.6,diego
0.57,diego
0.6,diego
