min_dist,identityy
0.62,diego
0.51,Nomura
0.69,diego
0.6,diego
0.52,diego
0.7,Karen
0.67,Karen
0.75,Karen
0.72,Karen
0.7,Karen
0.73,Karen
0.7,Karen
0.75,Nomura
0.7,Nomura
0.74,diego
0.71,Karen
0.69,Karen
0.69,Nomura
0.72,Karen
0.68,Nomura
0.71,Nomura
0.68,diego
0.56,diego
0.67,Nomura
0.72,Karen
0.71,diego
0.7,Nomura
0.69,Karen
0.68,diego
0.68,Nomura
0.64,Karen
0.65,Karen
0.57,Karen
0.68,diego
0.64,Nomura
0.7,diego
0.71,diego
0.71,Karen
0.71,Karen
0.72,diego
0.73,diego
0.74,Nomura
0.62,Monieer
0.56,Monieer
0.6,diego
0.6,diego
0.61,Nomura
0.61,Nomura
0.62,diego
0.62,diego
0.5,Nomura
0.61,diego
0.66,Karen
0.67,diego
0.59,diego
0.61,diego
0.61,diego
0.65,diego
0.65,diego
0.66,diego
0.68,Karen
0.63,Karen
0.62,Nomura
0.61,diego
0.57,diego
0.64,Karen
0.65,diego
0.64,Karen
0.6,Karen
0.62,Karen
0.64,Nomura
0.62,Karen
0.58,diego
0.7,Karen
0.72,Karen
0.7,diego
0.66,diego
0.61,diego
0.58,diego
0.6,Monieer
0.59,Nomura
0.68,Nomura
0.63,Karen
0.65,diego
0.58,Karen
0.65,diego
